APPART,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
49,1,1,1,1,1,0,0,1,2,1,1,1,0,0,1,1,1,1,1,4,4,1,1,1,1,1,0,0,1,1,1,1,4,0,0,4,4,2,2,2,0,0,2,2,2,2,2,0,0,2,2,2,4,4,0,0,3,4,1,4,2,0,0,4,4,4,2,1,0,0,1,1,1,1,1,0,0,1,4,4,4,4,0,0,4,2,2,4,4,0,0
50,1,1,1,3,4,3,0,4,1,4,4,1,2,0,1,1,1,1,1,0,0,1,1,1,1,2,0,0,2,1,1,1,1,0,0,1,2,2,2,4,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,2,4,4,2,4,4,1,4,1,1,2,0,1,1,1,1,2,0,0,4,4,2,2,4,2,0,4,4,4,1,4,4,0
51,1,1,1,1,2,0,0,2,3,3,0,1,0,0,4,1,1,1,1,0,0,4,4,4,4,4,2,0,4,4,4,1,1,0,0,2,2,2,2,2,2,2,2,3,3,3,3,0,2,0,4,4,2,2,0,0,1,4,4,4,4,0,0,4,4,4,4,2,0,2,2,4,1,4,4,2,0,4,4,4,4,4,0,0,4,2,2,4,4,0,0
52,1,1,1,3,1,0,0,1,1,1,4,1,4,0,1,1,1,1,1,0,0,2,2,4,4,3,0,2,3,3,3,0,2,0,0,0,2,2,2,2,0,0,2,4,2,2,2,0,0,0,2,1,1,4,0,0,4,1,2,1,4,0,0,4,4,4,4,2,0,0,4,4,4,4,4,0,0,4,4,4,4,4,0,0,4,4,4,4,1,0,0
53,1,4,4,1,1,0,0,1,1,1,1,1,2,0,1,1,2,1,1,2,0,1,1,1,1,4,0,0,1,4,1,1,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,2,2,4,2,2,0,2,2,0,4,4,1,4,3,0,0,1,1,2,1,1,0,0,4,4,4,4,4,0,0,4,4,1,1,4,0,0,1,4,4,1,4,0,0
54,1,1,1,1,4,0,0,4,4,4,4,3,4,4,1,1,1,1,1,0,4,1,1,1,1,1,4,2,4,1,1,1,1,0,0,4,4,4,0,0,0,2,4,4,4,4,2,2,0,2,3,3,3,2,0,2,1,4,4,2,2,0,0,2,2,2,2,4,0,0,2,2,2,2,2,0,0,2,4,4,4,1,0,0,1,1,1,0,4,0,4
55,1,1,1,1,0,0,2,1,1,1,1,1,0,0,1,1,1,4,1,0,0,1,1,1,4,2,0,0,4,4,4,4,4,0,0,0,4,2,2,2,0,0,2,2,2,2,2,0,0,2,2,1,2,4,0,0,4,1,1,4,1,0,0,4,4,2,2,2,0,0,4,4,1,1,1,0,0,1,3,2,2,2,0,0,0,2,2,2,2,2,2
56,1,1,1,4,1,0,0,1,1,1,1,1,0,0,2,2,4,1,1,0,0,1,1,1,1,1,0,2,1,1,1,4,4,0,0,2,2,2,4,4,0,0,4,4,4,2,2,0,0,0,4,0,0,2,4,0,2,4,4,4,4,0,0,4,4,4,4,2,0,0,2,2,4,4,4,0,0,4,2,4,2,4,0,0,4,4,4,4,4,0,0
57,4,4,1,3,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,4,1,1,1,1,4,0,0,4,4,2,1,1,2,0,2,2,2,2,2,0,0,2,2,2,2,2,0,4,2,3,3,2,2,0,0,2,2,4,1,2,0,0,2,1,1,4,1,0,2,4,4,1,1,0,0,0,4,4,4,4,4,2,0,4,0,4,1,4,0,0
58,1,2,4,4,1,0,0,1,4,1,1,1,0,0,1,1,1,1,1,0,0,1,4,1,1,1,0,0,1,1,1,1,1,0,2,4,4,4,4,0,2,0,0,2,2,2,2,0,0,4,3,2,2,2,0,0,4,2,0,0,4,0,0,4,2,2,1,4,0,0,4,2,2,2,2,0,0,2,2,2,2,2,0,0,4,4,2,2,2,0,0
59,3,2,2,3,1,0,0,4,4,1,1,4,0,0,4,4,1,1,1,0,0,1,4,4,1,1,0,0,1,1,4,4,1,0,0,2,2,2,2,2,0,0,3,3,3,3,3,0,0,3,3,2,0,2,2,0,4,0,4,4,2,4,0,4,4,2,1,4,0,0,1,4,4,4,4,0,0,4,4,4,2,4,0,4,4,4,2,1,1,0,0
60,1,1,2,2,2,0,4,1,1,1,1,1,0,0,1,1,1,1,2,0,2,1,1,1,1,1,0,0,1,1,1,1,1,4,0,3,4,4,4,4,0,0,2,2,3,3,2,2,0,4,2,2,2,3,0,0,2,2,2,2,2,3,0,2,2,4,1,1,0,0,1,1,2,4,4,2,0,4,1,4,4,4,0,0,4,2,2,0,2,0,0
61,4,4,1,1,1,0,0,1,1,1,1,1,0,2,3,1,1,1,1,0,0,4,1,2,4,1,0,0,1,1,1,1,1,0,4,4,4,4,0,2,0,3,2,4,4,4,4,0,0,2,2,2,2,2,0,0,2,4,4,4,2,0,2,4,4,4,4,4,0,0,4,4,4,4,1,0,4,1,1,1,1,4,0,0,3,2,2,2,2,0,0
62,1,1,4,4,0,0,0,0,0,1,1,4,0,0,4,1,2,3,3,4,2,3,3,3,3,0,0,0,2,2,1,1,1,0,0,4,0,2,4,2,2,2,2,4,0,0,2,2,2,1,2,2,2,3,2,2,0,0,0,4,4,2,2,4,2,2,2,2,0,0,2,2,2,2,1,0,0,1,1,1,1,1,0,2,1,1,1,4,4,0,0
63,1,1,1,1,4,0,0,1,4,1,1,1,0,0,4,4,4,4,1,0,4,1,1,1,4,1,0,0,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,0,2,2,0,0,0,2,2,4,1,0,0,1,1,1,1,2,0,0,2,4,1,4,2,0,0,4,1,1,2,4,0,0,4,2,4,4,4,0,0
64,1,3,3,1,1,4,0,1,1,1,1,1,0,0,1,1,1,1,1,2,2,1,1,1,3,3,2,0,3,3,4,1,4,0,4,1,3,0,0,0,2,2,0,4,3,3,3,2,2,1,2,2,2,2,4,2,0,0,0,4,4,0,0,1,3,1,2,1,0,2,1,1,4,4,1,0,0,1,0,4,4,1,0,4,4,4,4,4,4,0,0
65,1,4,1,1,1,0,4,1,1,4,1,1,4,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,4,0,4,0,0,0,2,2,0,0,2,2,3,2,4,2,0,2,0,4,0,2,0,0,2,2,2,2,2,0,0,2,2,2,4,4,0,0,2,4,1,4,4,0,0,4,2,1,4,4,0,0,1,4,4,4,4,0,0
66,2,2,2,1,1,0,0,4,4,4,1,4,0,0,4,1,4,4,1,4,4,1,1,1,1,1,4,1,1,1,1,1,1,0,0,3,3,3,2,2,0,0,2,2,2,2,4,0,0,1,2,4,1,2,3,3,2,2,2,4,4,3,0,4,4,4,4,2,0,0,4,4,4,0,4,0,0,4,1,4,4,4,0,0,4,1,1,1,4,0,0
67,1,1,1,2,1,2,2,1,1,4,1,1,2,0,1,1,1,1,1,0,0,1,1,1,4,1,0,0,1,1,1,1,1,0,4,2,4,2,2,2,0,0,2,2,2,2,2,0,0,2,2,4,1,4,0,2,1,4,2,2,2,0,0,2,2,4,1,4,2,4,2,2,2,2,2,4,3,2,3,3,3,3,3,0,3,3,3,4,4,0,0
68,1,3,4,1,1,0,0,1,1,4,4,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,3,3,3,1,4,0,0,1,2,2,0,0,2,4,1,2,2,2,2,0,4,1,2,2,2,2,0,0,4,4,4,4,4,0,0,4,4,4,4,4,2,2,4,4,4,4,4,2,2,4,4,2,2,2,0,0,3,4,1,1,1,0,0
69,1,1,1,1,1,0,0,1,4,4,2,2,0,2,2,1,1,1,1,0,0,1,1,1,1,1,0,2,4,1,4,1,1,0,0,1,1,1,4,2,4,0,2,2,2,2,1,0,0,3,3,3,3,3,0,0,3,3,2,2,2,0,0,4,4,4,0,4,0,0,4,4,4,4,4,0,0,1,4,4,2,2,0,0,4,4,4,2,4,4,4
70,1,1,1,1,1,0,0,1,4,2,2,1,4,2,1,4,1,4,4,0,0,0,4,4,4,1,0,0,3,3,1,1,3,0,4,0,4,2,1,2,0,0,2,2,2,2,3,0,0,3,3,3,2,2,0,2,4,4,1,4,4,0,0,4,1,4,4,3,0,0,4,4,4,1,4,0,0,4,4,4,4,1,0,2,1,1,1,1,2,0,0
71,1,4,1,4,1,0,4,1,1,1,1,1,0,0,4,4,1,1,1,0,0,1,1,1,1,4,0,0,1,1,2,1,1,0,2,0,0,4,1,1,0,3,2,2,2,2,2,3,0,2,2,2,2,2,0,0,2,2,2,3,2,0,0,2,4,2,4,2,2,0,2,2,4,4,4,0,0,4,2,4,4,4,0,0,4,4,4,4,4,0,0
72,1,4,1,1,1,0,0,1,1,4,1,1,0,0,1,1,3,1,2,4,0,1,1,1,1,1,0,2,1,1,2,2,1,2,0,2,2,2,2,4,0,0,2,0,4,2,2,0,0,2,2,2,2,2,0,0,2,2,1,1,1,0,0,1,1,4,2,3,0,0,3,3,2,2,2,2,2,4,4,4,4,2,0,0,4,4,4,4,4,0,0
