APPART,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
29,1,1,1,1,1,0,0,1,1,1,1,1,2,2,1,1,1,1,1,0,0,4,0,0,0,1,0,0,1,1,1,1,1,0,0,4,1,4,4,3,2,0,3,4,4,4,4,0,0,4,2,2,2,2,0,0,1,1,1,4,4,0,0,4,2,4,4,4,0,0,1,1,1,4,2,2,0,2,2,1,1,4,0,0,4,4,4,4,4,0,0
30,1,1,1,1,1,0,0,1,4,4,4,4,0,0,4,4,4,4,4,0,0,1,1,1,1,1,0,0,3,2,2,2,1,0,0,2,2,0,0,0,2,2,2,2,2,3,3,0,0,2,2,2,2,0,0,4,2,2,2,2,2,0,0,4,4,1,1,4,0,4,4,4,4,2,4,0,0,4,2,2,2,4,0,0,4,4,4,4,1,0,0
31,3,1,4,1,1,0,4,1,1,1,1,1,0,0,1,4,2,2,2,0,0,2,1,2,4,4,0,0,1,1,1,1,1,0,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0,4,2,2,2,4,0,0,2,4,0,3,3,0,0,3,2,1,1,4,0,0,4,4,4,1,4,0,0,4,4,4,4,4,0,4,4,4,4,2,4,0,4
32,3,3,3,4,1,0,0,1,1,1,4,4,0,2,1,1,1,1,1,2,0,1,1,1,1,1,0,0,1,1,1,1,4,0,0,4,4,2,2,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0,4,4,4,4,4,2,2,3,3,4,1,1,0,0,3,3,3,3,1,0,0,4,1,1,1,4,2,2,4,4,2,4,2,2,2
33,4,1,4,2,4,2,2,1,1,1,1,1,0,0,1,1,3,2,1,2,0,1,1,1,1,1,0,0,1,1,1,3,3,0,0,3,4,4,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,0,0,4,4,4,0,2,0,2,2,4,1,1,1,0,0,4,1,1,1,1,0,0,1,1,1,1,4,0,0,4,1,4,1,4,0,0
34,1,1,1,1,3,0,2,2,2,2,2,4,2,0,4,1,4,4,4,0,0,4,4,4,4,1,2,0,4,4,2,4,4,0,0,1,4,4,2,2,0,0,1,1,2,2,4,0,0,4,4,4,0,2,2,3,4,4,4,4,4,4,0,1,4,1,4,4,0,0,4,2,1,1,4,1,0,2,2,3,2,2,0,0,2,2,2,2,4,0,0
35,2,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,4,2,1,2,3,0,2,2,3,4,4,0,0,2,2,2,2,2,2,0,4,2,2,2,2,0,0,2,2,2,2,4,0,0,4,4,4,1,1,0,0,1,1,1,4,4,0,0,1,4,4,4,4,0,0,4,2,4,4,4,0,2,4,4,4,2,2,0,0
36,4,4,1,1,1,0,0,1,1,3,1,1,2,4,4,4,4,2,1,4,0,1,1,1,1,1,4,4,2,1,1,1,1,0,0,2,2,2,2,0,0,0,0,4,2,2,2,0,0,2,2,2,2,2,2,3,4,4,1,0,0,0,0,4,1,4,4,4,0,0,4,4,4,4,4,0,0,4,4,4,4,4,0,0,4,4,2,4,4,0,4
37,4,0,0,3,1,2,0,1,1,1,1,1,0,0,1,1,1,1,1,2,0,1,1,1,4,2,0,2,1,4,2,4,2,2,0,2,2,3,3,3,0,0,4,2,4,4,4,0,0,4,4,4,1,1,0,0,2,2,2,2,1,0,0,4,4,4,4,4,0,0,4,4,2,2,4,0,0,4,4,1,1,4,0,0,2,2,2,4,2,0,0
38,1,1,1,1,1,0,0,1,1,1,1,1,0,2,1,3,3,3,3,2,2,3,1,1,4,1,0,0,1,4,1,1,1,0,0,0,2,2,2,2,0,0,1,1,1,4,0,0,0,0,4,0,1,4,0,2,2,2,2,2,2,0,0,4,1,3,2,2,0,2,1,2,4,2,2,0,0,2,2,3,4,4,0,0,0,2,4,2,1,0,0
39,1,1,1,1,1,4,0,1,2,2,1,1,0,0,4,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,4,0,2,2,4,0,0,0,0,0,4,0,3,3,0,2,3,3,3,3,3,0,0,1,4,4,4,2,0,0,4,4,4,4,1,4,0,4,4,4,4,4,2,0,4,4,1,1,2,0,0,4,4,4,2,1,0,0
40,1,1,1,1,4,0,2,2,4,1,1,1,2,2,4,4,1,1,1,0,2,1,4,1,1,3,4,0,3,3,1,1,1,0,4,4,4,4,4,2,3,3,2,2,2,2,2,0,0,3,2,4,2,2,0,0,2,4,2,4,4,0,0,4,4,2,4,4,0,0,4,4,4,4,4,0,0,1,1,1,1,1,0,0,1,1,4,4,1,0,0
41,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,4,1,1,0,0,1,1,1,1,1,0,0,2,0,2,2,4,2,4,0,2,2,2,2,0,0,2,4,2,2,2,0,0,3,1,1,4,1,0,0,1,4,4,4,4,0,2,4,2,2,2,2,2,0,4,4,2,4,1,0,0,2,2,2,2,2,4,0
42,1,1,1,1,1,0,0,1,1,1,1,1,0,0,4,4,3,3,1,2,2,4,1,1,1,1,0,0,4,4,4,4,4,0,0,2,2,2,2,2,0,0,2,2,2,2,0,0,0,2,2,2,2,2,0,0,3,3,3,3,3,0,0,3,3,3,1,4,0,0,1,1,1,4,4,0,0,4,4,4,0,0,0,0,4,4,1,1,3,0,0
43,1,1,1,1,1,3,3,1,1,1,1,1,4,4,1,1,4,1,1,4,0,1,1,1,1,1,0,0,4,1,1,1,1,0,0,2,1,1,0,0,0,0,0,0,2,2,2,0,0,4,2,2,4,4,0,2,4,4,2,2,2,0,0,2,2,2,4,2,0,2,4,4,1,1,4,0,3,4,2,2,2,2,0,0,2,2,4,4,4,0,0
44,1,1,1,1,1,0,4,1,1,1,1,1,0,0,1,1,1,1,1,4,0,1,1,1,1,2,0,0,2,3,3,3,1,0,0,4,0,4,4,4,2,2,4,4,4,2,2,0,2,2,2,2,2,0,2,2,4,4,1,4,4,0,0,0,2,2,2,2,0,0,2,2,2,2,2,0,0,2,1,4,4,2,2,0,2,2,2,1,4,0,0
45,1,1,1,4,1,0,0,1,4,1,1,1,4,4,1,1,4,2,2,4,0,2,2,2,4,1,0,0,4,4,3,1,1,0,0,2,2,2,2,0,2,3,0,0,4,4,4,2,0,4,2,3,3,3,0,0,1,1,1,4,4,0,0,1,2,4,1,2,0,0,4,2,4,4,4,0,0,4,0,4,4,4,2,0,4,2,2,4,4,0,0
46,1,1,1,1,4,0,0,1,1,1,1,1,0,0,1,1,1,1,3,0,0,3,4,1,1,4,0,0,4,0,1,1,1,0,0,4,4,0,1,1,0,0,2,4,4,2,2,0,0,2,3,3,3,2,0,0,1,1,4,4,4,2,0,1,1,1,4,4,1,0,4,4,0,4,4,2,0,4,1,4,4,4,0,0,2,1,4,4,4,0,0
47,1,4,2,4,4,4,0,1,1,4,1,1,0,0,4,1,1,1,1,0,0,3,3,1,1,1,0,0,1,1,4,1,1,0,0,4,2,4,2,2,0,0,2,2,2,3,2,0,0,1,1,1,4,2,2,0,2,4,4,4,2,0,0,4,4,4,2,1,0,0,4,4,2,1,4,0,0,1,4,4,4,4,0,0,1,4,4,1,4,0,2
48,1,4,4,1,1,0,0,1,1,1,1,1,0,0,3,3,2,2,1,0,0,1,1,1,1,1,0,0,1,1,4,1,1,0,0,2,2,3,3,3,2,0,1,4,4,4,4,0,0,4,0,0,0,4,0,0,1,1,4,4,4,4,0,4,4,2,4,3,0,0,3,3,3,1,4,0,0,4,4,2,4,4,0,0,2,2,2,2,0,0,0
